1,"Main St","Hanging Files","On Reserve","News Clippings","1970 to 1972",,,,,"created 2000",
2,"Main St","Hanging Files","On Reserve","News Clippings","1973 to 1974",,,,,"created 2000",
3,"Main St","Hanging Files","Missing","News Clippings","1975 to 1977",,,,,"created 2000",
4,"Main St","Hanging Files","On Reserve","News Clippings","1978 to 1980",,,,,"created 2000",
5,"Main St","Hanging Files","On Reserve","News Clippings","1981 (folder 1)",,,,,"created 2000",
6,"Main St","Hanging Files","On Reserve","News Clippings","1981 (folder 2)",,,,,"created 2000",
7,"Main St","Hanging Files","Missing","News Clippings","1984 to 1985",,,,,"created 2000",
8,"Main St","Hanging Files","On Reserve","News Clippings","1986 (folder 2)",,,,,"created 2000",
9,"Main St","Hanging Files","On Reserve","News Clippings","1986 (folder 3)",,,,,"created 2000",
10,"Main St","Hanging Files","On Reserve","News Clippings","1991 to 1992",,,,,"created 2000",
11,"Main St","Hanging Files","On Reserve","News Clippings","1996 to 1998",,,,,"created 2000",
12,"Main St","Hanging Files","Missing","News Clippings","2000 (folder 1)",,,,,"created 2000",
13,"Main St","Hanging Files","On Reserve","News Clippings","2000 (folder 3)",,,,,"created 2002",
14,"Main St","Hanging Files","On Reserve","News Clippings","2001 (folder 2)",,,,,"created 2002",
15,"Main St","Books","On Shelf","Biography","A Liar's Autobiography, Volume VI","Chapman, Graham",1980,,"Humor",,
16,"Main St","Books","On Shelf","Psychology","A Textbook of Social Psychology","Alcock, Carment, and Sadava",1988,,"Textbook",,
17,"Main St","Books","On Shelf","Biography","All You Get Is Me (autobiography)","lang, kd",1994,,,"Summer 2000",
18,"Main St","Books","On Shelf","Feminism","Amazon Odyssey: The First Collection of Writings by the Political Pioneer of the Women's Movement","Atkinson, Ti-Grace",1974,,,,
19,"Main St","Books","On Shelf","Biography","Babe: The Life and Legend of Babe Didrikson Zabarias","Cayleef, Susan",1995,,"Sports","Autumn 2000",
20,"Main St","Books","On Shelf","Feminism","Fireweed: A Feminist Quarterly, Issue 28, Spring 1989","Lesbiantics",1989,,,,"Julia"
21,"Main St","Books","Restricted","Old","Handbook of Psychotherapy and Behavior Change","Garfieild, Sol L.; Allen E. Bergin",1978,,"Psychology; outdated",,
22,"Main St","Books","Restricted","Old","Homosexuality: Disease or Way of Life?","Edmund Bergler, M.D.",1956,,"Psychology; outdated",,
23,"Main St","Books","On Shelf","Computers","Java: How to Program, second edition","Deitel, et al",1998,"0-13-899394-7","a basic primer for Java","July 1999","Matt"
24,"Main St","Books","On Shelf","Feminism","Ladies Almanack","Barnes, Djuna",1972,,,,"Sam"
25,"Main St","Books","On Shelf","Computers","Linux Unleashed","Karmran Husain, Tim Parker, at al.",1995,"0-672-30705-7","general Linux reference","October 1995","Lisa"
26,"Main St","Books","On Shelf","Biography","Love Match: Nelson vs Navratilova","Faulkner, Sandra; Nelson, Judy",,,,,
27,"Main St","Books","On Shelf","Biography","Ludwig II","Nohbauer, Hans F.",,,,,
28,"Main St","Periodicals","On Shelf","Magazines","Macleans, 10 April 2001",,2001,,,,
29,"Main St","Periodicals","On Shelf","Magazines","Macleans, 13 March 2001",,2001,,,,
30,"Main St","Periodicals","On Shelf","Magazines","Macleans, 16 January 2001",,2001,,,,
31,"Main St","Periodicals","On Shelf","Magazines","Macleans, 19 June 2001",,2001,,,,
32,"Main St","Periodicals","On Shelf","Magazines","Macleans, 22 May 2001",,2001,,,,
33,"Main St","Periodicals","On Shelf","Magazines","Macleans, 24 December 2001",,2001,,,,
34,"Main St","Periodicals","On Shelf","Magazines","Macleans, 27 March 2001",,2001,,,,
35,"Main St","Periodicals","On Shelf","Magazines","Macleans, 29 November 1994",,1994,,,,
36,"Main St","Periodicals","On Shelf","Magazines","Macleans, 4 December 2001",,2001,,,,
37,"Main St","Periodicals","On Shelf","Magazines","Macleans, 5 June 2001",,2001,,,,
38,"Main St","Periodicals","On Shelf","Magazines","Macleans, 8 May 2001",,2001,,,,
39,"Main St","Periodicals","On Shelf","Magazines","Macleans, April 2002",,2002,,,,
40,"Main St","Periodicals","On Shelf","Magazines","Macleans, early March 2002",,2002,,,,
41,"Main St","Periodicals","On Shelf","Magazines","Macleans, January 1998",,1998,,,,
42,"Main St","Periodicals","On Shelf","Magazines","Macleans, July 2001",,2001,,,,
43,"Main St","Periodicals","On Shelf","Magazines","Macleans, late March 2002",,2002,,,,
44,"Main St","Periodicals","On Shelf","Magazines","Macleans, October 1993",,1993,,,,
45,"Main St","Periodicals","On Shelf","Magazines","Macleans, October 2001",,2001,,,,
46,"Main St","Periodicals","Missing","Magazines","Macleans, September 1994",,1994,,,,
47,"Main St","Periodicals","On Shelf","Magazines","Macleans, September 2001",,2001,,,,
48,"Main St","Books","On Shelf","Biography","Martina","Navratilova, Martina; Vecsey, George",1985,,,,
49,"Main St","Books","On Shelf","Computers","Modern Operating Systems","Andrew Tanenbaum",1992,"0-13-588187-0","computer science reference","September 1997","Matt"
50,"Main St","Books","On Shelf","Biography","My Point... And I Do Have One (autobiography)","DeGeneres, Ellen",1995,,,"Summer 2000",
51,"Main St","Periodicals","On Shelf","Magazines","National Geographic, Various Issues",,,,,,
52,"Main St","Books","On Shelf","Computers","Professional Active Server Pages","Home, Enfield, Cross, Harrison, Francis, Jakab, Gill, Hartwell",1997,"1-86100-72-3","a basic primer of ASP","April 1998","Lisa"
53,"Main St","Books","On Shelf","Computers","Professional Perl Programming","Peter Wainwright",2001,"1-861004-49-4","a basic primer for Perl","January 2002","Matt"
54,"Main St","Books","On Shelf","Computers","Professional PHP Programming","Jesus Castagnetto, Harish Rawat, Sascha Schumann, Chris Scollo, Deepak Veliath",1999,"1-861002-96-3","a basic primer for PHP","December 1999","Lisa"
55,"Main St","Books","On Shelf","Computers","Professional XML Web Services","Cauldwell, Chawla, Chopra, Damscen, Dix, Hong, et al.",2001,"1-861005-09-1","a basic primer for XML","January 2002","Matt"
56,"Main St","Books","On Shelf","Psychology","Psychology and Life, Eighth Edition","Ruch; Zimbardo",1970,,"Textbook; outdated",,
57,"Main St","Books","On Shelf","Psychology","Psychology: Being Human, Fourth Edition","Rubin, Zick; McNeil, Elton B.",1985,,"Textbook",,
58,"Main St","Books","Missing","Biography","Rock Hudson: His Story","Hudson, Rock; Davidson, Sara",1986,,,,
59,"Main St","Books","On Shelf","Biography","Royal Rebels","Stamp, Robert M.",,,,,
60,"Main St","Periodicals","On Shelf","Magazines","Seventeen Magazine, 1 November 1994",,1994,,,,"Pat"
